prefix,feature_type,level1,level2,level3,level4,description
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetBuildingCommon,uro:buildingId,,,識別子
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetBuildingCommon,uro:isPermanentId,,,永続性
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetBuildingCommon,uro:mainFireUse,,,主な防災用途
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetBuildingCommon,uro:ancillaryFireUse,,,付属的な防災用途
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetBuildingCommon,uro:sprinklerProtection,,,スプリンクラー有無
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetBuildingCommon,uro:sprinklerProtectionAutomatic,,,自動スプリンクラー有無
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetBuildingCommon,uro:occupancyType,,,入居者区分
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetBuildingCommon,uro:grossPlannedArea,,,計画総面積
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetBuildingCommon,uro:numberOfStoreys,,,建築物内階数
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetBuildingCommon,uro:yearOfConstruction,,,建築年
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetBuildingCommon,uro:isLandmarked,,,歴史的建造物
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetSiteCommon,,,,敷地共通属性
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetSiteCommon,uro:buildableArea,,,建築可能面積
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetSiteCommon,uro:totalArea,,,敷地総面積
bldg,bldg:Building,uro:ifcBuildingAttribute.uro:IfcPsetSiteCommon,uro:buildingHeightLimit,,,建築最大高さ
bldg,bldg:Building,uro:indoorBuildingAttribute.uro:IndoorFacilityAttribute,,,,屋内施設属性
bldg,bldg:Building,uro:indoorBuildingAttribute.uro:IndoorFacilityAttribute,uro:source,,,原典資料
bldg,bldg:Building,uro:indoorBuildingAttribute.uro:IndoorFacilityAttribute,uro:weekdayHours,,,営業時間（平日）
bldg,bldg:Building,uro:indoorBuildingAttribute.uro:IndoorFacilityAttribute,uro:weekendHours,,,営業時間（土日祝祭日）
bldg,bldg:Building,uro:indoorBuildingAttribute.uro:IndoorFacilityAttribute,uro:phone,,,電話番号
bldg,bldg:Building,uro:indoorBuildingAttribute.uro:IndoorFacilityAttribute,uro:website,,,ウェブサイト
