モデルの接頭辞,feature_type,tag1,tag2,tag3,tag4,説明：属性名,データ型,同モデル内の日本語名 重複チェック,,feature_type+tag1+tag2+tag3+tag4,重複チェック,同モデル内の重複チェック,,属性名（1）_抽出,属性名（2）_抽出,属性名（3）_抽出,属性名（4）_抽出
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:districtsAndZonesType,,,地域地区,,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:districtsAndZonesType,,,,uro:LargeCustomerFacilityAttribute,uro:districtsAndZonesType,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:landUseType,,,土地利用区分,,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:landUseType,,,,uro:LargeCustomerFacilityAttribute,uro:landUseType,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:reference,,,図面対象番号,,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:reference,,,,uro:LargeCustomerFacilityAttribute,uro:reference,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:note,,,備考,,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:note,,,,uro:LargeCustomerFacilityAttribute,uro:note,,
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:surveyYear,,,調査年,xs:gYear,,,bldg:Buildinguro:LargeCustomerFacilityAttributeuro:surveyYear,,,,uro:LargeCustomerFacilityAttribute,uro:surveyYear,,
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,,,,洪水浸水リスク,,,,bldg:Buildinguro:BuildingRiverFloodingRiskAttribute,,,,uro:BuildingRiverFloodingRiskAttribute,,,
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,uro:description,,,指定河川名称,,,,bldg:Buildinguro:BuildingRiverFloodingRiskAttributeuro:description,,,,uro:BuildingRiverFloodingRiskAttribute,uro:description,,
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,uro:rank,,,浸水ランク,,,,bldg:Buildinguro:BuildingRiverFloodingRiskAttributeuro:rank,,,,uro:BuildingRiverFloodingRiskAttribute,uro:rank,,
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,uro:rankOrg,,,浸水ランク（独自）,,,,bldg:Buildinguro:BuildingRiverFloodingRiskAttributeuro:rankOrg,,,,uro:BuildingRiverFloodingRiskAttribute,uro:rankOrg,,
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,uro:depth,,,浸水深,,,,bldg:Buildinguro:BuildingRiverFloodingRiskAttributeuro:depth,,,,uro:BuildingRiverFloodingRiskAttribute,uro:depth,,
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,uro:adminType,,,指定機関区分,,,,bldg:Buildinguro:BuildingRiverFloodingRiskAttributeuro:adminType,,,,uro:BuildingRiverFloodingRiskAttribute,uro:adminType,,
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,uro:scale,,,浸水規模,,,,bldg:Buildinguro:BuildingRiverFloodingRiskAttributeuro:scale,,,,uro:BuildingRiverFloodingRiskAttribute,uro:scale,,
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingRiverFloodingRiskAttribute,uro:duration,,,継続時間,,,,bldg:Buildinguro:BuildingRiverFloodingRiskAttributeuro:duration,,,,uro:BuildingRiverFloodingRiskAttribute,uro:duration,,
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingTsunamiRiskAttribute,,,,津波浸水リスク,,,,bldg:Buildinguro:BuildingTsunamiRiskAttribute,,,,uro:BuildingTsunamiRiskAttribute,,,
bldg,bldg:Building,uro:buildingDisasterRiskAttribute.uro:BuildingTsunamiRiskAttribute,uro:description,,,説明,,,,bldg:Buildinguro:BuildingTsunamiRiskAttributeuro:description,,,,uro:BuildingTsunamiRiskAttribute,uro:description,,
